"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Female";"0 to 64 years";"2014 week 32";"     169"
"Female";"0 to 64 years";"2014 week 33";"     176"
"Female";"0 to 64 years";"2014 week 34";"     175"
"Female";"0 to 64 years";"2014 week 35";"     207"
"Female";"0 to 64 years";"2014 week 36";"     177"
"Female";"0 to 64 years";"2014 week 37";"     178"
"Female";"0 to 64 years";"2014 week 38";"     154"
"Female";"0 to 64 years";"2014 week 39";"     170"
"Female";"0 to 64 years";"2014 week 40";"     187"
"Female";"0 to 64 years";"2014 week 41";"     191"
"Female";"0 to 64 years";"2014 week 42";"     181"
"Female";"0 to 64 years";"2014 week 43";"     179"
"Female";"0 to 64 years";"2014 week 44";"     197"
"Female";"0 to 64 years";"2014 week 45";"     205"
"Female";"0 to 64 years";"2014 week 46";"     170"
"Female";"0 to 64 years";"2014 week 47";"     179"
"Female";"0 to 64 years";"2014 week 48";"     168"
"Female";"0 to 64 years";"2014 week 49";"     185"
"Female";"0 to 64 years";"2014 week 50";"     193"
"Female";"0 to 64 years";"2014 week 51";"     196"
"Female";"0 to 64 years";"2014 week 52";"     154"
"Female";"0 to 64 years";"2014 week 53 (3 days)";"      83"
"Female";"0 to 64 years";"2014";"    9381"
"Female";"0 to 64 years";"2015 week 1 (4 days)";"      98"
"Female";"0 to 64 years";"2015 week 2";"     203"
"Female";"0 to 64 years";"2015 week 3";"     183"
"Female";"0 to 64 years";"2015 week 4";"     190"
"Female";"0 to 64 years";"2015 week 5";"     194"
"Female";"0 to 64 years";"2015 week 6";"     189"
"Female";"0 to 64 years";"2015 week 7";"     175"
"Female";"0 to 64 years";"2015 week 8";"     194"
"Female";"0 to 64 years";"2015 week 9";"     170"
"Female";"0 to 64 years";"2015 week 10";"     202"
"Female";"0 to 64 years";"2015 week 11";"     182"
"Female";"0 to 64 years";"2015 week 12";"     217"
"Female";"0 to 64 years";"2015 week 13";"     185"
"Female";"0 to 64 years";"2015 week 14";"     172"
"Female";"0 to 64 years";"2015 week 15";"     183"
"Female";"0 to 64 years";"2015 week 16";"     168"
"Female";"0 to 64 years";"2015 week 17";"     197"
"Female";"0 to 64 years";"2015 week 18";"     160"
"Female";"0 to 64 years";"2015 week 19";"     184"
"Female";"0 to 64 years";"2015 week 20";"     175"
"Female";"0 to 64 years";"2015 week 21";"     174"
"Female";"0 to 64 years";"2015 week 22";"     184"
"Female";"0 to 64 years";"2015 week 23";"     168"
"Female";"0 to 64 years";"2015 week 24";"     157"
"Female";"0 to 64 years";"2015 week 25";"     156"
"Female";"0 to 64 years";"2015 week 26";"     177"
"Female";"0 to 64 years";"2015 week 27";"     200"
"Female";"0 to 64 years";"2015 week 28";"     180"
"Female";"0 to 64 years";"2015 week 29";"     220"
"Female";"0 to 64 years";"2015 week 30";"     154"
"Female";"0 to 64 years";"2015 week 31";"     174"
"Female";"0 to 64 years";"2015 week 32";"     180"
"Female";"0 to 64 years";"2015 week 33";"     149"
"Female";"0 to 64 years";"2015 week 34";"     156"
"Female";"0 to 64 years";"2015 week 35";"     168"
"Female";"0 to 64 years";"2015 week 36";"     142"
"Female";"0 to 64 years";"2015 week 37";"     187"
"Female";"0 to 64 years";"2015 week 38";"     184"
"Female";"0 to 64 years";"2015 week 39";"     197"
"Female";"0 to 64 years";"2015 week 40";"     211"
"Female";"0 to 64 years";"2015 week 41";"     189"
"Female";"0 to 64 years";"2015 week 42";"     163"
"Female";"0 to 64 years";"2015 week 43";"     181"
"Female";"0 to 64 years";"2015 week 44";"     170"
"Female";"0 to 64 years";"2015 week 45";"     208"
"Female";"0 to 64 years";"2015 week 46";"     151"
"Female";"0 to 64 years";"2015 week 47";"     191"
"Female";"0 to 64 years";"2015 week 48";"     188"
"Female";"0 to 64 years";"2015 week 49";"     202"
"Female";"0 to 64 years";"2015 week 50";"     192"
"Female";"0 to 64 years";"2015 week 51";"     163"
"Female";"0 to 64 years";"2015 week 52";"     160"
"Female";"0 to 64 years";"2015 week 53 (4 days)";"     115"
"Female";"0 to 64 years";"2015";"    9412"
"Female";"0 to 64 years";"2016 week 0 (3 days)";"      77"
"Female";"0 to 64 years";"2016 week 1";"     203"
"Female";"0 to 64 years";"2016 week 2";"     199"
"Female";"0 to 64 years";"2016 week 3";"     182"
"Female";"0 to 64 years";"2016 week 4";"     193"
"Female";"0 to 64 years";"2016 week 5";"     190"
"Female";"0 to 64 years";"2016 week 6";"     196"
"Female";"0 to 64 years";"2016 week 7";"     191"
"Female";"0 to 64 years";"2016 week 8";"     200"
"Female";"0 to 64 years";"2016 week 9";"     213"
"Female";"0 to 64 years";"2016 week 10";"     187"
"Female";"0 to 64 years";"2016 week 11";"     193"
"Female";"0 to 64 years";"2016 week 12";"     180"
"Female";"0 to 64 years";"2016 week 13";"     184"
"Female";"0 to 64 years";"2016 week 14";"     190"
"Female";"0 to 64 years";"2016 week 15";"     174"
"Female";"0 to 64 years";"2016 week 16";"     184"
"Female";"0 to 64 years";"2016 week 17";"     181"
"Female";"0 to 64 years";"2016 week 18";"     177"
"Female";"0 to 64 years";"2016 week 19";"     172"
"Female";"0 to 64 years";"2016 week 20";"     140"
"Female";"0 to 64 years";"2016 week 21";"     191"
"Female";"0 to 64 years";"2016 week 22";"     167"
"Female";"0 to 64 years";"2016 week 23";"     154"
"Female";"0 to 64 years";"2016 week 24";"     198"
"Female";"0 to 64 years";"2016 week 25";"     179"
"Female";"0 to 64 years";"2016 week 26";"     173"
"Female";"0 to 64 years";"2016 week 27";"     179"
"Female";"0 to 64 years";"2016 week 28";"     169"
"Female";"0 to 64 years";"2016 week 29";"     171"
"Female";"0 to 64 years";"2016 week 30";"     152"
"Female";"0 to 64 years";"2016 week 31";"     184"
"Female";"0 to 64 years";"2016 week 32";"     173"
"Female";"0 to 64 years";"2016 week 33";"     170"
"Female";"0 to 64 years";"2016 week 34";"     161"
"Female";"0 to 64 years";"2016 week 35";"     175"
"Female";"0 to 64 years";"2016 week 36";"     181"
"Female";"0 to 64 years";"2016 week 37";"     186"
"Female";"0 to 64 years";"2016 week 38";"     176"
"Female";"0 to 64 years";"2016 week 39";"     199"
"Female";"0 to 64 years";"2016 week 40";"     159"
"Female";"0 to 64 years";"2016 week 41";"     209"
"Female";"0 to 64 years";"2016 week 42";"     188"
"Female";"0 to 64 years";"2016 week 43";"     180"
"Female";"0 to 64 years";"2016 week 44";"     181"
"Female";"0 to 64 years";"2016 week 45";"     199"
"Female";"0 to 64 years";"2016 week 46";"     185"
"Female";"0 to 64 years";"2016 week 47";"     194"
"Female";"0 to 64 years";"2016 week 48";"     178"
"Female";"0 to 64 years";"2016 week 49";"     216"
"Female";"0 to 64 years";"2016 week 50";"     196"
"Female";"0 to 64 years";"2016 week 51";"     166"
"Female";"0 to 64 years";"2016 week 52 (6 days)";"     159"
"Female";"0 to 64 years";"2016";"    9554"
"Female";"0 to 64 years";"2017 week 0 (1 day)";"      22"
"Female";"0 to 64 years";"2017 week 1";"     186"
"Female";"0 to 64 years";"2017 week 2";"     180"
"Female";"0 to 64 years";"2017 week 3";"     189"
"Female";"0 to 64 years";"2017 week 4";"     191"
"Female";"0 to 64 years";"2017 week 5";"     157"
"Female";"0 to 64 years";"2017 week 6";"     208"
"Female";"0 to 64 years";"2017 week 7";"     195"
"Female";"0 to 64 years";"2017 week 8";"     192"
"Female";"0 to 64 years";"2017 week 9";"     173"
"Female";"0 to 64 years";"2017 week 10";"     187"
"Female";"0 to 64 years";"2017 week 11";"     183"
"Female";"0 to 64 years";"2017 week 12";"     187"
"Female";"0 to 64 years";"2017 week 13";"     188"
"Female";"0 to 64 years";"2017 week 14";"     186"
"Female";"0 to 64 years";"2017 week 15";"     171"
"Female";"0 to 64 years";"2017 week 16";"     169"
"Female";"0 to 64 years";"2017 week 17";"     151"
"Female";"0 to 64 years";"2017 week 18";"     158"
"Female";"0 to 64 years";"2017 week 19";"     176"
"Female";"0 to 64 years";"2017 week 20";"     168"
"Female";"0 to 64 years";"2017 week 21";"     151"
"Female";"0 to 64 years";"2017 week 22";"     159"
"Female";"0 to 64 years";"2017 week 23";"     176"
"Female";"0 to 64 years";"2017 week 24";"     192"
"Female";"0 to 64 years";"2017 week 25";"     180"
"Female";"0 to 64 years";"2017 week 26";"     182"
"Female";"0 to 64 years";"2017 week 27";"     170"
"Female";"0 to 64 years";"2017 week 28";"     183"
"Female";"0 to 64 years";"2017 week 29";"     163"
"Female";"0 to 64 years";"2017 week 30";"     159"
"Female";"0 to 64 years";"2017 week 31";"     157"
"Female";"0 to 64 years";"2017 week 32";"     174"
"Female";"0 to 64 years";"2017 week 33";"     147"
"Female";"0 to 64 years";"2017 week 34";"     153"
"Female";"0 to 64 years";"2017 week 35";"     169"
"Female";"0 to 64 years";"2017 week 36";"     166"
"Female";"0 to 64 years";"2017 week 37";"     182"
"Female";"0 to 64 years";"2017 week 38";"     183"
"Female";"0 to 64 years";"2017 week 39";"     158"
"Female";"0 to 64 years";"2017 week 40";"     167"
"Female";"0 to 64 years";"2017 week 41";"     178"
"Female";"0 to 64 years";"2017 week 42";"     183"
"Female";"0 to 64 years";"2017 week 43";"     204"
"Female";"0 to 64 years";"2017 week 44";"     170"
"Female";"0 to 64 years";"2017 week 45";"     172"
"Female";"0 to 64 years";"2017 week 46";"     186"
"Female";"0 to 64 years";"2017 week 47";"     168"
"Female";"0 to 64 years";"2017 week 48";"     154"
"Female";"0 to 64 years";"2017 week 49";"     177"
"Female";"0 to 64 years";"2017 week 50";"     189"
"Female";"0 to 64 years";"2017 week 51";"     181"
"Female";"0 to 64 years";"2017 week 52";"     188"
"Female";"0 to 64 years";"2017";"    9138"
"Female";"0 to 64 years";"2018 week 1";"     160"
"Female";"0 to 64 years";"2018 week 2";"     166"
"Female";"0 to 64 years";"2018 week 3";"     183"
"Female";"0 to 64 years";"2018 week 4";"     163"
"Female";"0 to 64 years";"2018 week 5";"     192"
"Female";"0 to 64 years";"2018 week 6";"     190"
"Female";"0 to 64 years";"2018 week 7";"     167"
"Female";"0 to 64 years";"2018 week 8";"     181"
"Female";"0 to 64 years";"2018 week 9";"     207"
"Female";"0 to 64 years";"2018 week 10";"     188"
"Female";"0 to 64 years";"2018 week 11";"     189"
"Female";"0 to 64 years";"2018 week 12";"     199"
"Female";"0 to 64 years";"2018 week 13";"     166"
"Female";"0 to 64 years";"2018 week 14";"     195"
"Female";"0 to 64 years";"2018 week 15";"     185"
"Female";"0 to 64 years";"2018 week 16";"     185"
"Female";"0 to 64 years";"2018 week 17";"     167"
"Female";"0 to 64 years";"2018 week 18";"     161"
"Female";"0 to 64 years";"2018 week 19";"     144"
"Female";"0 to 64 years";"2018 week 20";"     158"
"Female";"0 to 64 years";"2018 week 21";"     163"
"Female";"0 to 64 years";"2018 week 22";"     179"
"Female";"0 to 64 years";"2018 week 23";"     164"
"Female";"0 to 64 years";"2018 week 24";"     163"
"Female";"0 to 64 years";"2018 week 25";"     158"
"Female";"0 to 64 years";"2018 week 26";"     140"
"Female";"0 to 64 years";"2018 week 27";"     184"
"Female";"0 to 64 years";"2018 week 28";"     184"
"Female";"0 to 64 years";"2018 week 29";"     167"
"Female";"0 to 64 years";"2018 week 30";"     159"
"Female";"0 to 64 years";"2018 week 31";"     157"
"Female";"0 to 64 years";"2018 week 32";"     180"
"Female";"0 to 64 years";"2018 week 33";"     173"
"Female";"0 to 64 years";"2018 week 34";"     165"
"Female";"0 to 64 years";"2018 week 35";"     160"
"Female";"0 to 64 years";"2018 week 36";"     186"
"Female";"0 to 64 years";"2018 week 37";"     148"
"Female";"0 to 64 years";"2018 week 38";"     165"
"Female";"0 to 64 years";"2018 week 39";"     196"
"Female";"0 to 64 years";"2018 week 40";"     182"
"Female";"0 to 64 years";"2018 week 41";"     192"
"Female";"0 to 64 years";"2018 week 42";"     164"
"Female";"0 to 64 years";"2018 week 43";"     163"
"Female";"0 to 64 years";"2018 week 44";"     161"
"Female";"0 to 64 years";"2018 week 45";"     181"
"Female";"0 to 64 years";"2018 week 46";"     183"
"Female";"0 to 64 years";"2018 week 47";"     180"
"Female";"0 to 64 years";"2018 week 48";"     173"
"Female";"0 to 64 years";"2018 week 49";"     199"
"Female";"0 to 64 years";"2018 week 50";"     200"
"Female";"0 to 64 years";"2018 week 51";"     179"
"Female";"0 to 64 years";"2018 week 52";"     192"
"Female";"0 to 64 years";"2018 week 53 (1 day)";"      30"
"Female";"0 to 64 years";"2018";"    9116"
"Female";"0 to 64 years";"2019 week 1 (6 days)";"     149"
"Female";"0 to 64 years";"2019 week 2";"     188"
"Female";"0 to 64 years";"2019 week 3";"     178"
"Female";"0 to 64 years";"2019 week 4";"     209"
"Female";"0 to 64 years";"2019 week 5";"     174"
"Female";"0 to 64 years";"2019 week 6";"     174"
"Female";"0 to 64 years";"2019 week 7";"     165"
"Female";"0 to 64 years";"2019 week 8";"     175"
"Female";"0 to 64 years";"2019 week 9";"     181"
"Female";"0 to 64 years";"2019 week 10";"     176"
"Female";"0 to 64 years";"2019 week 11";"     198"
"Female";"0 to 64 years";"2019 week 12";"     162"
"Female";"0 to 64 years";"2019 week 13";"     166"
"Female";"0 to 64 years";"2019 week 14";"     163"
"Female";"0 to 64 years";"2019 week 15";"     140"
"Female";"0 to 64 years";"2019 week 16";"     186"
"Female";"0 to 64 years";"2019 week 17";"     151"
"Female";"0 to 64 years";"2019 week 18";"     155"
"Female";"0 to 64 years";"2019 week 19";"     153"
"Female";"0 to 64 years";"2019 week 20";"     163"
"Female";"0 to 64 years";"2019 week 21";"     164"
"Female";"0 to 64 years";"2019 week 22";"     149"
"Female";"0 to 64 years";"2019 week 23";"     188"
"Female";"0 to 64 years";"2019 week 24";"     143"
"Female";"0 to 64 years";"2019 week 25";"     153"
"Female";"0 to 64 years";"2019 week 26";"     167"
"Female";"0 to 64 years";"2019 week 27";"     159"
"Female";"0 to 64 years";"2019 week 28";"     156"
"Female";"0 to 64 years";"2019 week 29";"     156"
"Female";"0 to 64 years";"2019 week 30";"     196"
"Female";"0 to 64 years";"2019 week 31";"     157"
"Female";"0 to 64 years";"2019 week 32";"     169"
"Female";"0 to 64 years";"2019 week 33";"     142"
"Female";"0 to 64 years";"2019 week 34";"     170"
"Female";"0 to 64 years";"2019 week 35";"     171"
"Female";"0 to 64 years";"2019 week 36";"     164"
"Female";"0 to 64 years";"2019 week 37";"     175"
"Female";"0 to 64 years";"2019 week 38";"     149"
"Female";"0 to 64 years";"2019 week 39";"     160"
"Female";"0 to 64 years";"2019 week 40";"     179"
"Female";"0 to 64 years";"2019 week 41";"     150"
"Female";"0 to 64 years";"2019 week 42";"     160"
"Female";"0 to 64 years";"2019 week 43";"     169"
"Female";"0 to 64 years";"2019 week 44";"     177"
"Female";"0 to 64 years";"2019 week 45";"     196"
"Female";"0 to 64 years";"2019 week 46";"     196"
"Female";"0 to 64 years";"2019 week 47";"     167"
"Female";"0 to 64 years";"2019 week 48";"     195"
"Female";"0 to 64 years";"2019 week 49";"     178"
"Female";"0 to 64 years";"2019 week 50";"     187"
"Female";"0 to 64 years";"2019 week 51";"     191"
"Female";"0 to 64 years";"2019 week 52";"     168"
"Female";"0 to 64 years";"2019 week 53 (2 days)";"      46"
"Female";"0 to 64 years";"2019";"    8853"
"Female";"0 to 64 years";"2020 week 1 (5 days)";"     123"
"Female";"0 to 64 years";"2020 week 2";"     179"
"Female";"0 to 64 years";"2020 week 3";"     169"
"Female";"0 to 64 years";"2020 week 4";"     139"
"Female";"0 to 64 years";"2020 week 5";"     170"
"Female";"0 to 64 years";"2020 week 6";"     161"
"Female";"0 to 64 years";"2020 week 7";"     185"
"Female";"0 to 64 years";"2020 week 8";"     149"
"Female";"0 to 64 years";"2020 week 9";"     174"
"Female";"0 to 64 years";"2020 week 10";"     165"
"Female";"0 to 64 years";"2020 week 11";"     160"
"Female";"0 to 64 years";"2020 week 12";"     180"
"Female";"0 to 64 years";"2020 week 13";"     193"
"Female";"0 to 64 years";"2020 week 14";"     207"
"Female";"0 to 64 years";"2020 week 15";"     189"
"Female";"0 to 64 years";"2020 week 16";"     156"
"Female";"0 to 64 years";"2020 week 17";"     172"
"Female";"0 to 64 years";"2020 week 18";"     171"
"Female";"0 to 64 years";"2020 week 19";"     156"
"Female";"0 to 64 years";"2020 week 20";"     136"
"Female";"0 to 64 years";"2020 week 21";"     137"
"Female";"0 to 64 years";"2020 week 22";"     143"
"Female";"0 to 64 years";"2020 week 23";"     160"
"Female";"0 to 64 years";"2020 week 24";"     187"
"Female";"0 to 64 years";"2020 week 25";"     148"
"Female";"0 to 64 years";"2020 week 26";"     174"
"Female";"0 to 64 years";"2020 week 27";"     171"
"Female";"0 to 64 years";"2020 week 28";"     162"
"Female";"0 to 64 years";"2020 week 29";"     151"
"Female";"0 to 64 years";"2020 week 30";"     171"
"Female";"0 to 64 years";"2020 week 31";"     156"
"Female";"0 to 64 years";"2020 week 32";"     175"
"Female";"0 to 64 years";"2020 week 33";"     190"
"Female";"0 to 64 years";"2020 week 34";"     177"
"Female";"0 to 64 years";"2020 week 35";"     153"
"Female";"0 to 64 years";"2020 week 36";"     167"
"Female";"0 to 64 years";"2020 week 37";"     170"
"Female";"0 to 64 years";"2020 week 38";"     159"
"Female";"0 to 64 years";"2020 week 39";"     162"
"Female";"0 to 64 years";"2020 week 40";"     206"
"Female";"0 to 64 years";"2020 week 41";"     168"
"Female";"0 to 64 years";"2020 week 42";"     192"
"Female";"0 to 64 years";"2020 week 43";"     172"
"Female";"0 to 64 years";"2020 week 44";"     161"
"Female";"0 to 64 years";"2020 week 45";"     178"
"Female";"0 to 64 years";"2020 week 46";"     179"
"Female";"0 to 64 years";"2020 week 47";"     173"
"Female";"0 to 64 years";"2020 week 48";"     165"
"Female";"0 to 64 years";"2020 week 49";"     175"
"Female";"0 to 64 years";"2020 week 50";"     187"
"Female";"0 to 64 years";"2020 week 51";"     210"
"Female";"0 to 64 years";"2020 week 52";"     175"
"Female";"0 to 64 years";"2020 week 53 (4 days)";"     109"
"Female";"0 to 64 years";"2020";"    8897"
"Female";"0 to 64 years";"2021 week 0 (3 days)";"      80"
"Female";"0 to 64 years";"2021 week 1";"     177"
"Female";"0 to 64 years";"2021 week 2";"     167"
"Female";"0 to 64 years";"2021 week 3";"     188"
"Female";"0 to 64 years";"2021 week 4";"     164"
"Female";"0 to 64 years";"2021 week 5";"     166"
"Female";"0 to 64 years";"2021 week 6";"     175"
"Female";"0 to 64 years";"2021 week 7";"     223"
"Female";"0 to 64 years";"2021 week 8";"     163"
"Female";"0 to 64 years";"2021 week 9";"     176"
"Female";"0 to 64 years";"2021 week 10";"     167"
"Female";"0 to 64 years";"2021 week 11";"     165"
"Female";"0 to 64 years";"2021 week 12";"     174"
"Female";"0 to 64 years";"2021 week 13";"     172"
"Female";"0 to 64 years";"2021 week 14";"     177"
"Female";"0 to 64 years";"2021 week 15";"     200"
"Female";"0 to 64 years";"2021 week 16";"     176"
"Female";"0 to 64 years";"2021 week 17";"     175"
"Female";"0 to 64 years";"2021 week 18";"     173"
"Female";"0 to 64 years";"2021 week 19";"     189"
"Female";"0 to 64 years";"2021 week 20";"     182"
"Female";"0 to 64 years";"2021 week 21";"     162"
"Female";"0 to 64 years";"2021 week 22";"     187"
"Female";"0 to 64 years";"2021 week 23";"     159"
"Female";"0 to 64 years";"2021 week 24";"     192"
"Female";"0 to 64 years";"2021 week 25";"     179"
"Female";"0 to 64 years";"2021 week 26";"     161"
"Female";"0 to 64 years";"2021 week 27";"     161"
"Female";"0 to 64 years";"2021 week 28";"     175"
"Female";"0 to 64 years";"2021 week 29";"     153"
"Female";"0 to 64 years";"2021 week 30";"     158"
"Female";"0 to 64 years";"2021 week 31";"     184"
"Female";"0 to 64 years";"2021 week 32";"     171"
"Female";"0 to 64 years";"2021 week 33";"     168"
"Female";"0 to 64 years";"2021 week 34";"     181"
"Female";"0 to 64 years";"2021 week 35";"     161"
"Female";"0 to 64 years";"2021 week 36";"     184"
"Female";"0 to 64 years";"2021 week 37";"     202"
"Female";"0 to 64 years";"2021 week 38";"     192"
"Female";"0 to 64 years";"2021 week 39";"     183"
"Female";"0 to 64 years";"2021 week 40";"     185"
"Female";"0 to 64 years";"2021 week 41";"     203"
"Female";"0 to 64 years";"2021 week 42";"     182"
"Female";"0 to 64 years";"2021 week 43";"     191"
"Female";"0 to 64 years";"2021 week 44";"     202"
"Female";"0 to 64 years";"2021 week 45";"     179"
"Female";"0 to 64 years";"2021 week 46";"     172"
"Female";"0 to 64 years";"2021 week 47";"     191"
"Female";"0 to 64 years";"2021 week 48";"     222"
"Female";"0 to 64 years";"2021 week 49";"     217"
"Female";"0 to 64 years";"2021 week 50";"     217"
"Female";"0 to 64 years";"2021 week 51";"     224"
"Female";"0 to 64 years";"2021 week 52 (5 days)";"     161"
"Female";"0 to 64 years";"2021";"    9488"
"Female";"0 to 64 years";"2022 week 0 (2 days)";"      48"
"Female";"0 to 64 years";"2022 week 1";"     183"
"Female";"0 to 64 years";"2022 week 2";"     155"
"Female";"0 to 64 years";"2022 week 3";"     171"
"Female";"0 to 64 years";"2022 week 4";"     148"
"Female";"0 to 64 years";"2022 week 5";"     197"
"Female";"0 to 64 years";"2022 week 6";"     169"
"Female";"0 to 64 years";"2022 week 7";"     158"
"Female";"0 to 64 years";"2022 week 8";"     156"
"Female";"0 to 64 years";"2022 week 9";"     160"
"Female";"0 to 64 years";"2022 week 10";"     190"
"Female";"0 to 64 years";"2022 week 11";"     176"
"Female";"0 to 64 years";"2022 week 12";"     179"
"Female";"0 to 64 years";"2022 week 13";"     199"
"Female";"0 to 64 years";"2022 week 14";"     181"
"Female";"0 to 64 years";"2022 week 15";"     183"
"Female";"0 to 64 years";"2022 week 16";"     189"
"Female";"0 to 64 years";"2022 week 17";"     158"
"Female";"0 to 64 years";"2022 week 18";"     183"
"Female";"0 to 64 years";"2022 week 19";"     189"
"Female";"0 to 64 years";"2022 week 20";"     170"
"Female";"0 to 64 years";"2022 week 21";"     184"
"Female";"0 to 64 years";"2022 week 22";"     157"
"Female";"0 to 64 years";"2022 week 23";"     154"
"Female";"0 to 64 years";"2022 week 24";"     158"
"Female";"0 to 64 years";"2022 week 25";"     172"
"Female";"0 to 64 years";"2022 week 26";"     207"
"Female";"0 to 64 years";"2022 week 27";"     165"
"Female";"0 to 64 years";"2022 week 28";"     195"
"Female";"0 to 64 years";"2022 week 29";"     164"
"Female";"0 to 64 years";"2022 week 30";"     170"
"Female";"0 to 64 years";"2022 week 31";"     146"
"Female";"0 to 64 years";"2022 week 32";"     180"
"Female";"0 to 64 years";"2022 week 33";"     157"
"Female";"0 to 64 years";"2022 week 34";"     182"
"Female";"0 to 64 years";"2022 week 35";"     180"
"Female";"0 to 64 years";"2022 week 36";"     171"
"Female";"0 to 64 years";"2022 week 37";"     152"
"Female";"0 to 64 years";"2022 week 38";"     183"
"Female";"0 to 64 years";"2022 week 39";"     148"
"Female";"0 to 64 years";"2022 week 40";"     153"
"Female";"0 to 64 years";"2022 week 41";"     171"
"Female";"0 to 64 years";"2022 week 42";"     204"
"Female";"0 to 64 years";"2022 week 43";"     167"
"Female";"0 to 64 years";"2022 week 44";"     171"
"Female";"0 to 64 years";"2022 week 45";"     167"
"Female";"0 to 64 years";"2022 week 46";"     171"
"Female";"0 to 64 years";"2022 week 47";"     209"
"Female";"0 to 64 years";"2022 week 48";"     184"
"Female";"0 to 64 years";"2022 week 49";"     197"
"Female";"0 to 64 years";"2022 week 50";"     205"
"Female";"0 to 64 years";"2022 week 51";"     193"
"Female";"0 to 64 years";"2022 week 52 (6 days)";"     201"
"Female";"0 to 64 years";"2022";"    9160"
"Female";"0 to 64 years";"2023 week 0 (1 day)";"      22"
"Female";"0 to 64 years";"2023 week 1";"     191"
"Female";"0 to 64 years";"2023 week 2";"     181"
"Female";"0 to 64 years";"2023 week 3";"     153"
"Female";"0 to 64 years";"2023 week 4";"     178"
"Female";"0 to 64 years";"2023 week 5";"     193"
"Female";"0 to 64 years";"2023 week 6";"     186"
"Female";"0 to 64 years";"2023 week 7";"     167"
"Female";"0 to 64 years";"2023 week 8";"     179"
"Female";"0 to 64 years";"2023 week 9";"     162"
"Female";"0 to 64 years";"2023 week 10";"     194"
"Female";"0 to 64 years";"2023 week 11";"     176"
"Female";"0 to 64 years";"2023 week 12";"     167"
"Female";"0 to 64 years";"2023 week 13";"     173"
"Female";"0 to 64 years";"2023 week 14";"     184"
"Female";"0 to 64 years";"2023 week 15";"     168"
"Female";"0 to 64 years";"2023 week 16";"     193"
"Female";"0 to 64 years";"2023 week 17";"     136"
"Female";"0 to 64 years";"2023 week 18";"     155"
"Female";"0 to 64 years";"2023 week 19";"     137"
"Female";"0 to 64 years";"2023 week 20";"     133"
"Female";"0 to 64 years";"2023 week 21";"     156"
"Female";"0 to 64 years";"2023 week 22";"     151"
"Female";"0 to 64 years";"2023 week 23";"     161"
"Female";"0 to 64 years";"2023 week 24";"     176"
"Female";"0 to 64 years";"2023 week 25";"     144"
"Female";"0 to 64 years";"2023 week 26";"     143"
"Female";"0 to 64 years";"2023 week 27";"     144"
"Female";"0 to 64 years";"2023 week 28";"     149"
"Female";"0 to 64 years";"2023 week 29";"     146"
"Female";"0 to 64 years";"2023 week 30";"     143"
"Female";"0 to 64 years";"2023 week 31";"     145"
"Female";"0 to 64 years";"2023 week 32";"     185"
"Female";"0 to 64 years";"2023 week 33";"     172"
"Female";"0 to 64 years";"2023 week 34";"     157"
"Female";"0 to 64 years";"2023 week 35";"     154"
"Female";"0 to 64 years";"2023 week 36";"     168"
"Female";"0 to 64 years";"2023 week 37";"     162"
"Female";"0 to 64 years";"2023 week 38";"     193"
"Female";"0 to 64 years";"2023 week 39";"     207"
"Female";"0 to 64 years";"2023 week 40";"     174"
"Female";"0 to 64 years";"2023 week 41";"     160"
"Female";"0 to 64 years";"2023 week 42";"     189"
"Female";"0 to 64 years";"2023 week 43";"     199"
"Female";"0 to 64 years";"2023 week 44";"     162"
"Female";"0 to 64 years";"2023 week 45";"     181"
"Female";"0 to 64 years";"2023 week 46";"     179"
"Female";"0 to 64 years";"2023 week 47";"     183"
"Female";"0 to 64 years";"2023 week 48";"     174"
"Female";"0 to 64 years";"2023 week 49";"     188"
"Female";"0 to 64 years";"2023 week 50";"     180"
"Female";"0 to 64 years";"2023 week 51";"     167"
"Female";"0 to 64 years";"2023 week 52";"     180"
"Female";"0 to 64 years";"2023";"    8800"
"Female";"0 to 64 years";"2024 week 1";"     173"
"Female";"0 to 64 years";"2024 week 2";"     164"
"Female";"0 to 64 years";"2024 week 3";"     177"
"Female";"0 to 64 years";"2024 week 4";"     179"
"Female";"0 to 64 years";"2024 week 5";"     180"
"Female";"0 to 64 years";"2024 week 6";"     182"
"Female";"0 to 64 years";"2024 week 7";"     187"
"Female";"0 to 64 years";"2024 week 8";"     168"
"Female";"0 to 64 years";"2024 week 9";"     166"
"Female";"0 to 64 years";"2024 week 10";"     162"
"Female";"0 to 64 years";"2024 week 11";"     166"
"Female";"0 to 64 years";"2024 week 12";"     179"
"Female";"0 to 64 years";"2024 week 13";"     172"
"Female";"0 to 64 years";"2024 week 14";"     163"
"Female";"0 to 64 years";"2024 week 15";"     196"
"Female";"0 to 64 years";"2024 week 16";"     174"
"Female";"0 to 64 years";"2024 week 17";"     188"
"Female";"0 to 64 years";"2024 week 18";"     160"
"Female";"0 to 64 years";"2024 week 19";"     166"
"Female";"0 to 64 years";"2024 week 20";"     174"
"Female";"0 to 64 years";"2024 week 21";"     165"
"Female";"0 to 64 years";"2024 week 22";"     152"
"Female";"0 to 64 years";"2024 week 23";"     157"
"Female";"0 to 64 years";"2024 week 24";"     183"
"Female";"0 to 64 years";"2024 week 25";"     171"
